Timestamp;DateTime;Pirog17-cr1_ae3.445(AS49869 Piter-IX MSK)_tx;Pirog17-cr1_ae3.445(AS49869 Piter-IX MSK)_rx;Aggregated_tx;Aggregated_rx
1638137280;2021-11-29 01:08;117451432;680721704;117451432;680721704
1638137340;2021-11-29 01:09;113415304;657669960;113415304;657669960
1638137400;2021-11-29 01:10;113095120;600838208;113095120;600838208
1638137460;2021-11-29 01:11;115685416;658149768;115685416;658149768
1638137520;2021-11-29 01:12;121893432;673995864;121893432;673995864
1638137580;2021-11-29 01:13;117649680;554229464;117649680;554229464
1638137640;2021-11-29 01:14;112104000;611773680;112104000;611773680
1638137700;2021-11-29 01:15;107857552;515518680;107857552;515518680
1638137760;2021-11-29 01:16;137906136;552445896;137906136;552445896
1638137820;2021-11-29 01:17;128675248;546000400;128675248;546000400
1638137880;2021-11-29 01:18;107307048;491455120;107307048;491455120
1638137940;2021-11-29 01:19;117335608;546813528;117335608;546813528
1638138000;2021-11-29 01:20;101978728;476055432;101978728;476055432
1638138060;2021-11-29 01:21;134266184;532410536;134266184;532410536
1638138120;2021-11-29 01:22;124685360;569909560;124685360;569909560
1638138180;2021-11-29 01:23;123508688;505487744;123508688;505487744
1638138240;2021-11-29 01:24;105583296;475802840;105583296;475802840
1638138300;2021-11-29 01:25;128873488;471518960;128873488;471518960
1638138360;2021-11-29 01:26;143842232;653115768;143842232;653115768
1638138420;2021-11-29 01:27;121313944;580302032;121313944;580302032
1638138480;2021-11-29 01:28;131099032;476182376;131099032;476182376
1638138540;2021-11-29 01:29;132460224;471020432;132460224;471020432
1638138600;2021-11-29 01:30;130753432;457162800;130753432;457162800
1638138660;2021-11-29 01:31;130876272;503619272;130876272;503619272
1638138720;2021-11-29 01:32;112493264;459325536;112493264;459325536
1638138780;2021-11-29 01:33;113507920;484904296;113507920;484904296
1638138840;2021-11-29 01:34;121835160;496634696;121835160;496634696
1638138900;2021-11-29 01:35;111073400;488051928;111073400;488051928
1638138960;2021-11-29 01:36;180502904;536951688;180502904;536951688
1638139020;2021-11-29 01:37;112642568;444632696;112642568;444632696
1638139080;2021-11-29 01:38;112275856;469340752;112275856;469340752
1638139140;2021-11-29 01:39;123852496;425310648;123852496;425310648
1638139200;2021-11-29 01:40;101809040;441845656;101809040;441845656
1638139260;2021-11-29 01:41;102326536;434997344;102326536;434997344
1638139320;2021-11-29 01:42;103024120;393858592;103024120;393858592
1638139380;2021-11-29 01:43;120645336;393444024;120645336;393444024
1638139440;2021-11-29 01:44;114845608;375238408;114845608;375238408
1638139500;2021-11-29 01:45;197498568;385476528;197498568;385476528
1638139560;2021-11-29 01:46;171425584;416680984;171425584;416680984
1638139620;2021-11-29 01:47;99296376;364690520;99296376;364690520
1638139680;2021-11-29 01:48;100203880;371183024;100203880;371183024
1638139740;2021-11-29 01:49;100874016;403545216;100874016;403545216
1638139800;2021-11-29 01:50;101980688;387800360;101980688;387800360
1638139860;2021-11-29 01:51;118092432;485704552;118092432;485704552
1638139920;2021-11-29 01:52;118699424;423816216;118699424;423816216
1638139980;2021-11-29 01:53;106938992;404955072;106938992;404955072
1638140040;2021-11-29 01:54;131265600;369926112;131265600;369926112
1638140100;2021-11-29 01:55;100892752;382021688;100892752;382021688
1638140160;2021-11-29 01:56;126361000;433331224;126361000;433331224
1638140220;2021-11-29 01:57;149735536;374390088;149735536;374390088
1638140280;2021-11-29 01:58;111992720;402315856;111992720;402315856
1638140340;2021-11-29 01:59;118251552;402288112;118251552;402288112
1638140400;2021-11-29 02:00;90052704;369792232;90052704;369792232
1638140460;2021-11-29 02:01;129712496;473253088;129712496;473253088
1638140520;2021-11-29 02:02;98281176;389657288;98281176;389657288
1638140580;2021-11-29 02:03;92718968;355287208;92718968;355287208
1638140640;2021-11-29 02:04;88591944;370687448;88591944;370687448
1638140700;2021-11-29 02:05;93080856;300478040;93080856;300478040
1638140760;2021-11-29 02:06;98644024;314459760;98644024;314459760
1638140820;2021-11-29 02:07;86453760;311600888;86453760;311600888
1638140880;2021-11-29 02:08;123486888;362249856;123486888;362249856
1638140940;2021-11-29 02:09;95634936;325312880;95634936;325312880
1638141000;2021-11-29 02:10;89364848;305061632;89364848;305061632
1638141060;2021-11-29 02:11;89652472;323458256;89652472;323458256
1638141120;2021-11-29 02:12;85640272;338841256;85640272;338841256
1638141180;2021-11-29 02:13;92649008;342443016;92649008;342443016
1638141240;2021-11-29 02:14;97137768;446065936;97137768;446065936
1638141300;2021-11-29 02:15;88665656;294706928;88665656;294706928
1638141360;2021-11-29 02:16;91300256;346870280;91300256;346870280
1638141420;2021-11-29 02:17;107264936;317845280;107264936;317845280
1638141480;2021-11-29 02:18;90879056;338890272;90879056;338890272
1638141540;2021-11-29 02:19;86391320;334469728;86391320;334469728
1638141600;2021-11-29 02:20;86893464;308440736;86893464;308440736
1638141660;2021-11-29 02:21;104014784;325013280;104014784;325013280
1638141720;2021-11-29 02:22;91389528;322109360;91389528;322109360
1638141780;2021-11-29 02:23;94190216;358694328;94190216;358694328
1638141840;2021-11-29 02:24;93927832;362072376;93927832;362072376
1638141900;2021-11-29 02:25;97994952;301778464;97994952;301778464
1638141960;2021-11-29 02:26;131694112;315407552;131694112;315407552
1638142020;2021-11-29 02:27;89079808;294589440;89079808;294589440
1638142080;2021-11-29 02:28;93072376;288421544;93072376;288421544
1638142140;2021-11-29 02:29;83132848;282236328;83132848;282236328
1638142200;2021-11-29 02:30;82110208;294834896;82110208;294834896
1638142260;2021-11-29 02:31;87833576;331017528;87833576;331017528
1638142320;2021-11-29 02:32;83829288;305337440;83829288;305337440
1638142380;2021-11-29 02:33;80588128;296158776;80588128;296158776
1638142440;2021-11-29 02:34;110625632;328547456;110625632;328547456
1638142500;2021-11-29 02:35;340465640;371335472;340465640;371335472
1638142560;2021-11-29 02:36;156240896;282970816;156240896;282970816
1638142620;2021-11-29 02:37;187960472;289566328;187960472;289566328
1638142680;2021-11-29 02:38;86118144;333674096;86118144;333674096
1638142740;2021-11-29 02:39;94998920;300699928;94998920;300699928
1638142800;2021-11-29 02:40;189100968;307833976;189100968;307833976
1638142860;2021-11-29 02:41;195782224;328132984;195782224;328132984
1638142920;2021-11-29 02:42;285669952;339937376;285669952;339937376
1638142980;2021-11-29 02:43;301601696;335902048;301601696;335902048
1638143040;2021-11-29 02:44;298421304;272690680;298421304;272690680
1638143100;2021-11-29 02:45;223339456;308482752;223339456;308482752
1638143160;2021-11-29 02:46;121885296;312111608;121885296;312111608
1638143220;2021-11-29 02:47;89117808;298732712;89117808;298732712
1638143280;2021-11-29 02:48;110249376;289051864;110249376;289051864
1638143340;2021-11-29 02:49;107624984;302097440;107624984;302097440
1638143400;2021-11-29 02:50;98116016;287663824;98116016;287663824
1638143460;2021-11-29 02:51;114009488;279401960;114009488;279401960
1638143520;2021-11-29 02:52;86190104;285187784;86190104;285187784
1638143580;2021-11-29 02:53;109949344;271831008;109949344;271831008
1638143640;2021-11-29 02:54;97246920;281906056;97246920;281906056
1638143700;2021-11-29 02:55;86086568;271393328;86086568;271393328
1638143760;2021-11-29 02:56;94327168;336355848;94327168;336355848
1638143820;2021-11-29 02:57;83531232;247720328;83531232;247720328
1638143880;2021-11-29 02:58;83729496;299354328;83729496;299354328
1638143940;2021-11-29 02:59;78883744;285982808;78883744;285982808
1638144000;2021-11-29 03:00;76312648;236109136;76312648;236109136
1638144060;2021-11-29 03:01;84437520;312507696;84437520;312507696
1638144120;2021-11-29 03:02;73041912;217631904;73041912;217631904
1638144180;2021-11-29 03:03;73719792;288910120;73719792;288910120
1638144240;2021-11-29 03:04;71575448;259134680;71575448;259134680
1638144300;2021-11-29 03:05;96719304;250602224;96719304;250602224
1638144360;2021-11-29 03:06;176823520;254172512;176823520;254172512
1638144420;2021-11-29 03:07;119237656;230656416;119237656;230656416
1638144480;2021-11-29 03:08;75380256;250805136;75380256;250805136
1638144540;2021-11-29 03:09;81504624;235555328;81504624;235555328
1638144600;2021-11-29 03:10;71909072;220270816;71909072;220270816
1638144660;2021-11-29 03:11;77835944;220067336;77835944;220067336
1638144720;2021-11-29 03:12;74127448;272957992;74127448;272957992
1638144780;2021-11-29 03:13;74373568;247744616;74373568;247744616
1638144840;2021-11-29 03:14;76035280;281971736;76035280;281971736
1638144900;2021-11-29 03:15;69470256;236841136;69470256;236841136
1638144960;2021-11-29 03:16;81889328;288194240;81889328;288194240
1638145020;2021-11-29 03:17;77044920;245971736;77044920;245971736
1638145080;2021-11-29 03:18;73606920;238887472;73606920;238887472
1638145140;2021-11-29 03:19;70357512;243655272;70357512;243655272
1638145200;2021-11-29 03:20;71038632;244612208;71038632;244612208
1638145260;2021-11-29 03:21;78033656;261385488;78033656;261385488
1638145320;2021-11-29 03:22;71107136;224959760;71107136;224959760
1638145380;2021-11-29 03:23;75617952;254449648;75617952;254449648
1638145440;2021-11-29 03:24;79205408;230207888;79205408;230207888
1638145500;2021-11-29 03:25;70425720;241784976;70425720;241784976
1638145560;2021-11-29 03:26;75827656;253100208;75827656;253100208
1638145620;2021-11-29 03:27;79485192;298942008;79485192;298942008
1638145680;2021-11-29 03:28;75772072;318410920;75772072;318410920
1638145740;2021-11-29 03:29;74114520;213958568;74114520;213958568
1638145800;2021-11-29 03:30;72390264;198644296;72390264;198644296
1638145860;2021-11-29 03:31;77739808;236175136;77739808;236175136
1638145920;2021-11-29 03:32;74927504;229318040;74927504;229318040
1638145980;2021-11-29 03:33;72857728;234930160;72857728;234930160
1638146040;2021-11-29 03:34;70018112;233166072;70018112;233166072
1638146100;2021-11-29 03:35;77482384;440838992;77482384;440838992
1638146160;2021-11-29 03:36;80906368;894276016;80906368;894276016
1638146220;2021-11-29 03:37;81922320;728646472;81922320;728646472
1638146280;2021-11-29 03:38;76346640;496572976;76346640;496572976
1638146340;2021-11-29 03:39;76216192;723633248;76216192;723633248
1638146400;2021-11-29 03:40;74410432;789608888;74410432;789608888
1638146460;2021-11-29 03:41;77100352;552547136;77100352;552547136
1638146520;2021-11-29 03:42;74499456;530851968;74499456;530851968
1638146580;2021-11-29 03:43;75917680;514699248;75917680;514699248
1638146640;2021-11-29 03:44;74078856;644174072;74078856;644174072
1638146700;2021-11-29 03:45;73613192;728927008;73613192;728927008
1638146760;2021-11-29 03:46;78286456;666941984;78286456;666941984
1638146820;2021-11-29 03:47;77056448;536132880;77056448;536132880
1638146880;2021-11-29 03:48;79421512;607803760;79421512;607803760
1638146940;2021-11-29 03:49;77133768;744293784;77133768;744293784
1638147000;2021-11-29 03:50;73162696;740638272;73162696;740638272
1638147060;2021-11-29 03:51;78020912;655155416;78020912;655155416
1638147120;2021-11-29 03:52;77292656;678051912;77292656;678051912
1638147180;2021-11-29 03:53;76498336;808594952;76498336;808594952
1638147240;2021-11-29 03:54;80809936;776582432;80809936;776582432
1638147300;2021-11-29 03:55;70679304;566060480;70679304;566060480
1638147360;2021-11-29 03:56;84085368;550200816;84085368;550200816
1638147420;2021-11-29 03:57;83696368;712079808;83696368;712079808
1638147480;2021-11-29 03:58;78195696;793771384;78195696;793771384
1638147540;2021-11-29 03:59;0;524449192;0;524449192
1638147600;2021-11-29 04:00;75165184;517981712;75165184;517981712
1638147660;2021-11-29 04:01;88631152;833438616;88631152;833438616
1638147720;2021-11-29 04:02;81395152;748358056;81395152;748358056
1638147780;2021-11-29 04:03;84735440;821356616;84735440;821356616
1638147840;2021-11-29 04:04;81061896;812354840;81061896;812354840
1638147900;2021-11-29 04:05;72836080;379318952;72836080;379318952
1638147960;2021-11-29 04:06;76292336;292469120;76292336;292469120
1638148020;2021-11-29 04:07;76951384;267114424;76951384;267114424
1638148080;2021-11-29 04:08;72297936;233793864;72297936;233793864
1638148140;2021-11-29 04:09;73725392;274447904;73725392;274447904
1638148200;2021-11-29 04:10;74671056;220302320;74671056;220302320
1638148260;2021-11-29 04:11;78515544;236957800;78515544;236957800
1638148320;2021-11-29 04:12;73872704;226623200;73872704;226623200
1638148380;2021-11-29 04:13;69618704;226921256;69618704;226921256
1638148440;2021-11-29 04:14;72149080;227364264;72149080;227364264
1638148500;2021-11-29 04:15;78736624;255562352;78736624;255562352
1638148560;2021-11-29 04:16;82816576;251429720;82816576;251429720
1638148620;2021-11-29 04:17;86034248;227206448;86034248;227206448
1638148680;2021-11-29 04:18;81849200;237606520;81849200;237606520
1638148740;2021-11-29 04:19;73786328;237362320;73786328;237362320
1638148800;2021-11-29 04:20;73292304;266831648;73292304;266831648
1638148860;2021-11-29 04:21;82089352;270023448;82089352;270023448
1638148920;2021-11-29 04:22;72021128;267048264;72021128;267048264
1638148980;2021-11-29 04:23;73107976;260770336;73107976;260770336
1638149040;2021-11-29 04:24;84504848;281005048;84504848;281005048
1638149100;2021-11-29 04:25;74616224;211189304;74616224;211189304
1638149160;2021-11-29 04:26;78544776;256274784;78544776;256274784
1638149220;2021-11-29 04:27;73275264;236833688;73275264;236833688
1638149280;2021-11-29 04:28;75365768;218365240;75365768;218365240
1638149340;2021-11-29 04:29;74657728;198137360;74657728;198137360
1638149400;2021-11-29 04:30;70615800;202716568;70615800;202716568
1638149460;2021-11-29 04:31;82495688;305790216;82495688;305790216
1638149520;2021-11-29 04:32;73609952;313200840;73609952;313200840
1638149580;2021-11-29 04:33;72180040;315856696;72180040;315856696
1638149640;2021-11-29 04:34;80343472;318711024;80343472;318711024
1638149700;2021-11-29 04:35;72879640;299748760;72879640;299748760
1638149760;2021-11-29 04:36;80709504;350348496;80709504;350348496
1638149820;2021-11-29 04:37;72116824;321231400;72116824;321231400
1638149880;2021-11-29 04:38;116526784;250417104;116526784;250417104
1638149940;2021-11-29 04:39;73854360;448568208;73854360;448568208
1638150000;2021-11-29 04:40;70761632;214096392;70761632;214096392
1638150060;2021-11-29 04:41;75607056;395695280;75607056;395695280
1638150120;2021-11-29 04:42;89460552;237681448;89460552;237681448
1638150180;2021-11-29 04:43;80096856;248679328;80096856;248679328
1638150240;2021-11-29 04:44;89083232;247914248;89083232;247914248
1638150300;2021-11-29 04:45;189000840;241321392;189000840;241321392
1638150360;2021-11-29 04:46;86549000;300382816;86549000;300382816
1638150420;2021-11-29 04:47;75298536;229542040;75298536;229542040
1638150480;2021-11-29 04:48;78589856;235676688;78589856;235676688
1638150540;2021-11-29 04:49;74918256;245702424;74918256;245702424
1638150600;2021-11-29 04:50;77605808;236167392;77605808;236167392
1638150660;2021-11-29 04:51;73666712;262553960;73666712;262553960
1638150720;2021-11-29 04:52;76773024;263641824;76773024;263641824
1638150780;2021-11-29 04:53;73104904;227369208;73104904;227369208
1638150840;2021-11-29 04:54;72339328;234906448;72339328;234906448
1638150900;2021-11-29 04:55;69796520;237170216;69796520;237170216
1638150960;2021-11-29 04:56;78859840;267577080;78859840;267577080
1638151020;2021-11-29 04:57;78633720;237763552;78633720;237763552
1638151080;2021-11-29 04:58;71889192;233897112;71889192;233897112
1638151140;2021-11-29 04:59;278612112;291396664;278612112;291396664
1638151200;2021-11-29 05:00;212663920;297416104;212663920;297416104
1638151260;2021-11-29 05:01;78947496;263041184;78947496;263041184
1638151320;2021-11-29 05:02;69897992;281991984;69897992;281991984
1638151380;2021-11-29 05:03;69457296;283872720;69457296;283872720
1638151440;2021-11-29 05:04;73424760;258454680;73424760;258454680
1638151500;2021-11-29 05:05;65539096;266560592;65539096;266560592
1638151560;2021-11-29 05:06;74567240;317579432;74567240;317579432
1638151620;2021-11-29 05:07;68684696;265907112;68684696;265907112
1638151680;2021-11-29 05:08;70293808;289905464;70293808;289905464
1638151740;2021-11-29 05:09;67535600;274474120;67535600;274474120
1638151800;2021-11-29 05:10;83218616;246292960;83218616;246292960
1638151860;2021-11-29 05:11;91943216;290455200;91943216;290455200
1638151920;2021-11-29 05:12;66259880;284752344;66259880;284752344
1638151980;2021-11-29 05:13;367376720;262002992;367376720;262002992
1638152040;2021-11-29 05:14;178405208;248169072;178405208;248169072
1638152100;2021-11-29 05:15;67820792;278839128;67820792;278839128
1638152160;2021-11-29 05:16;74767744;290397816;74767744;290397816
1638152220;2021-11-29 05:17;68759960;243415408;68759960;243415408
1638152280;2021-11-29 05:18;70832416;245892896;70832416;245892896
1638152340;2021-11-29 05:19;76562072;235671656;76562072;235671656
1638152400;2021-11-29 05:20;74527760;215507600;74527760;215507600
1638152460;2021-11-29 05:21;75506344;229434720;75506344;229434720
1638152520;2021-11-29 05:22;80227552;221647720;80227552;221647720
1638152580;2021-11-29 05:23;85302384;260828592;85302384;260828592
1638152640;2021-11-29 05:24;70131312;222552408;70131312;222552408
1638152700;2021-11-29 05:25;67780480;212910488;67780480;212910488
1638152760;2021-11-29 05:26;74520136;257018344;74520136;257018344
1638152820;2021-11-29 05:27;72088120;281131240;72088120;281131240
1638152880;2021-11-29 05:28;72851752;227833440;72851752;227833440
1638152940;2021-11-29 05:29;71396616;213610968;71396616;213610968
1638153000;2021-11-29 05:30;72069080;210726224;72069080;210726224
1638153060;2021-11-29 05:31;77327728;228761920;77327728;228761920
1638153120;2021-11-29 05:32;75411752;262913560;75411752;262913560
1638153180;2021-11-29 05:33;68865624;232668600;68865624;232668600
1638153240;2021-11-29 05:34;68988216;215300392;68988216;215300392
1638153300;2021-11-29 05:35;66900632;230975928;66900632;230975928
1638153360;2021-11-29 05:36;71403072;244938120;71403072;244938120
1638153420;2021-11-29 05:37;69623888;247937432;69623888;247937432
1638153480;2021-11-29 05:38;78413576;250595040;78413576;250595040
1638153540;2021-11-29 05:39;64856816;252598664;64856816;252598664
1638153600;2021-11-29 05:40;65978936;265283832;65978936;265283832
1638153660;2021-11-29 05:41;69651312;229060304;69651312;229060304
1638153720;2021-11-29 05:42;69827688;305641904;69827688;305641904
1638153780;2021-11-29 05:43;77939832;302538384;77939832;302538384
1638153840;2021-11-29 05:44;76880112;250202840;76880112;250202840
1638153900;2021-11-29 05:45;74519544;273732176;74519544;273732176
1638153960;2021-11-29 05:46;76374064;292054120;76374064;292054120
1638154020;2021-11-29 05:47;72942240;236357376;72942240;236357376
1638154080;2021-11-29 05:48;74251032;261250864;74251032;261250864
1638154140;2021-11-29 05:49;71156248;244556920;71156248;244556920
1638154200;2021-11-29 05:50;82077520;231595888;82077520;231595888
1638154260;2021-11-29 05:51;92035408;264047496;92035408;264047496
1638154320;2021-11-29 05:52;84947216;255484896;84947216;255484896
1638154380;2021-11-29 05:53;97171920;299537768;97171920;299537768
1638154440;2021-11-29 05:54;91262872;281491776;91262872;281491776
1638154500;2021-11-29 05:55;77982632;303971288;77982632;303971288
1638154560;2021-11-29 05:56;87365456;252576800;87365456;252576800
1638154620;2021-11-29 05:57;86186424;237012024;86186424;237012024
1638154680;2021-11-29 05:58;85806104;224565064;85806104;224565064
1638154740;2021-11-29 05:59;85421168;233534472;85421168;233534472
1638154800;2021-11-29 06:00;68534640;199428176;68534640;199428176
1638154860;2021-11-29 06:01;77061064;207297688;77061064;207297688
1638154920;2021-11-29 06:02;75055976;215615624;75055976;215615624
1638154980;2021-11-29 06:03;70962552;216710152;70962552;216710152
1638155040;2021-11-29 06:04;71560848;218971816;71560848;218971816
1638155100;2021-11-29 06:05;70527424;216627600;70527424;216627600
1638155160;2021-11-29 06:06;78962536;236057016;78962536;236057016
1638155220;2021-11-29 06:07;69448080;227843176;69448080;227843176
1638155280;2021-11-29 06:08;78310888;253543232;78310888;253543232
1638155340;2021-11-29 06:09;76805632;230260848;76805632;230260848
1638155400;2021-11-29 06:10;72428072;213075256;72428072;213075256
1638155460;2021-11-29 06:11;78836448;248826800;78836448;248826800
1638155520;2021-11-29 06:12;70887464;267522496;70887464;267522496
1638155580;2021-11-29 06:13;74071184;246785936;74071184;246785936
1638155640;2021-11-29 06:14;81340976;271503472;81340976;271503472
1638155700;2021-11-29 06:15;70491848;254125296;70491848;254125296
1638155760;2021-11-29 06:16;84263856;293401528;84263856;293401528
1638155820;2021-11-29 06:17;77933272;264387024;77933272;264387024
1638155880;2021-11-29 06:18;71409232;253109824;71409232;253109824
1638155940;2021-11-29 06:19;71850408;211886912;71850408;211886912
1638156000;2021-11-29 06:20;76658400;226570792;76658400;226570792
1638156060;2021-11-29 06:21;82462256;245774880;82462256;245774880
1638156120;2021-11-29 06:22;86732832;217778344;86732832;217778344
1638156180;2021-11-29 06:23;88893760;221035528;88893760;221035528
1638156240;2021-11-29 06:24;88044512;224331312;88044512;224331312
1638156300;2021-11-29 06:25;91452408;203173840;91452408;203173840
1638156360;2021-11-29 06:26;82642776;224094688;82642776;224094688
1638156420;2021-11-29 06:27;73840456;222719896;73840456;222719896
1638156480;2021-11-29 06:28;89460800;206980528;89460800;206980528
1638156540;2021-11-29 06:29;216956864;233257264;216956864;233257264
1638156600;2021-11-29 06:30;71826768;239884752;71826768;239884752
1638156660;2021-11-29 06:31;76474264;282472512;76474264;282472512
1638156720;2021-11-29 06:32;74860728;274843416;74860728;274843416
1638156780;2021-11-29 06:33;72512120;269925992;72512120;269925992
1638156840;2021-11-29 06:34;80488488;289407048;80488488;289407048
1638156900;2021-11-29 06:35;70322480;318308848;70322480;318308848
1638156960;2021-11-29 06:36;82354568;391725200;82354568;391725200
1638157020;2021-11-29 06:37;77290856;312249000;77290856;312249000
1638157080;2021-11-29 06:38;76882288;298065688;76882288;298065688
1638157140;2021-11-29 06:39;80274864;356620224;80274864;356620224
1638157200;2021-11-29 06:40;72627168;296630152;72627168;296630152
1638157260;2021-11-29 06:41;80633616;321208040;80633616;321208040
1638157320;2021-11-29 06:42;88528336;297406400;88528336;297406400
1638157380;2021-11-29 06:43;78090672;319468496;78090672;319468496
1638157440;2021-11-29 06:44;80803480;336589384;80803480;336589384
1638157500;2021-11-29 06:45;72287056;353589720;72287056;353589720
1638157560;2021-11-29 06:46;87530128;394885296;87530128;394885296
1638157620;2021-11-29 06:47;97725760;404432896;97725760;404432896
1638157680;2021-11-29 06:48;106671008;376519728;106671008;376519728
1638157740;2021-11-29 06:49;105605352;383217360;105605352;383217360
1638157800;2021-11-29 06:50;82249104;293122592;82249104;293122592
1638157860;2021-11-29 06:51;111556512;336013144;111556512;336013144
1638157920;2021-11-29 06:52;72640496;311421064;72640496;311421064
1638157980;2021-11-29 06:53;73064472;394499704;73064472;394499704
1638158040;2021-11-29 06:54;71285936;277669288;71285936;277669288
1638158100;2021-11-29 06:55;74526712;286847336;74526712;286847336
1638158160;2021-11-29 06:56;79686872;317991224;79686872;317991224
1638158220;2021-11-29 06:57;79714536;277920664;79714536;277920664
1638158280;2021-11-29 06:58;76624216;276108264;76624216;276108264
1638158340;2021-11-29 06:59;80472432;265239808;80472432;265239808
1638158400;2021-11-29 07:00;71362808;248515464;71362808;248515464
1638158460;2021-11-29 07:01;80489016;291666728;80489016;291666728
1638158520;2021-11-29 07:02;76796168;269520672;76796168;269520672
1638158580;2021-11-29 07:03;73266184;287442976;73266184;287442976
1638158640;2021-11-29 07:04;81168744;305151240;81168744;305151240
1638158700;2021-11-29 07:05;69072336;269391040;69072336;269391040
1638158760;2021-11-29 07:06;80238520;307097496;80238520;307097496
1638158820;2021-11-29 07:07;74339216;315610408;74339216;315610408
1638158880;2021-11-29 07:08;73926720;302382648;73926720;302382648
1638158940;2021-11-29 07:09;73869680;299862120;73869680;299862120
1638159000;2021-11-29 07:10;76126808;312994648;76126808;312994648
