Timestamp;DateTime;Pirog17-cr1_ae3.445(AS49869 Piter-IX MSK)_tx;Pirog17-cr1_ae3.445(AS49869 Piter-IX MSK)_rx;Aggregated_tx;Aggregated_rx
1638133200;2021-11-29 00:00;141748520;745609968;141748520;745609968
1638133260;2021-11-29 00:01;138136600;839305912;138136600;839305912
1638133320;2021-11-29 00:02;142102856;847203296;142102856;847203296
1638133380;2021-11-29 00:03;135109680;858587072;135109680;858587072
1638133440;2021-11-29 00:04;155803056;615438952;155803056;615438952
1638133500;2021-11-29 00:05;136701240;587386632;136701240;587386632
1638133560;2021-11-29 00:06;200186240;670700736;200186240;670700736
1638133620;2021-11-29 00:07;146140264;715475416;146140264;715475416
1638133680;2021-11-29 00:08;135329456;720149184;135329456;720149184
1638133740;2021-11-29 00:09;128333600;654932904;128333600;654932904
1638133800;2021-11-29 00:10;132617200;620508912;132617200;620508912
1638133860;2021-11-29 00:11;171753344;698179480;171753344;698179480
1638133920;2021-11-29 00:12;153283360;619222984;153283360;619222984
1638133980;2021-11-29 00:13;140345056;679628304;140345056;679628304
1638134040;2021-11-29 00:14;134974256;655520712;134974256;655520712
1638134100;2021-11-29 00:15;233936120;677749216;233936120;677749216
1638134160;2021-11-29 00:16;464424952;699000672;464424952;699000672
1638134220;2021-11-29 00:17;325804848;668779792;325804848;668779792
1638134280;2021-11-29 00:18;156801072;669216984;156801072;669216984
1638134340;2021-11-29 00:19;137990264;762387984;137990264;762387984
1638134400;2021-11-29 00:20;125965432;650828008;125965432;650828008
1638134460;2021-11-29 00:21;168257424;701744264;168257424;701744264
1638134520;2021-11-29 00:22;204945512;658616528;204945512;658616528
1638134580;2021-11-29 00:23;196682056;712070928;196682056;712070928
1638134640;2021-11-29 00:24;216281576;732078648;216281576;732078648
1638134700;2021-11-29 00:25;149356624;682456280;149356624;682456280
1638134760;2021-11-29 00:26;169664832;722317256;169664832;722317256
1638134820;2021-11-29 00:27;155508032;736119072;155508032;736119072
1638134880;2021-11-29 00:28;134178160;657230488;134178160;657230488
1638134940;2021-11-29 00:29;132555728;726675152;132555728;726675152
1638135000;2021-11-29 00:30;138571016;651111392;138571016;651111392
1638135060;2021-11-29 00:31;159554160;711903008;159554160;711903008
1638135120;2021-11-29 00:32;166006264;735541152;166006264;735541152
1638135180;2021-11-29 00:33;171638904;684656576;171638904;684656576
1638135240;2021-11-29 00:34;164145088;672000432;164145088;672000432
1638135300;2021-11-29 00:35;161244896;651066128;161244896;651066128
1638135360;2021-11-29 00:36;179896640;688878568;179896640;688878568
1638135420;2021-11-29 00:37;160391440;618159944;160391440;618159944
1638135480;2021-11-29 00:38;165048056;587627480;165048056;587627480
1638135540;2021-11-29 00:39;175946632;620602320;175946632;620602320
1638135600;2021-11-29 00:40;158135056;686243448;158135056;686243448
1638135660;2021-11-29 00:41;169148392;671300544;169148392;671300544
1638135720;2021-11-29 00:42;165036952;635635608;165036952;635635608
1638135780;2021-11-29 00:43;173198760;742077256;173198760;742077256
1638135840;2021-11-29 00:44;201455792;625117880;201455792;625117880
1638135900;2021-11-29 00:45;213182624;632010208;213182624;632010208
1638135960;2021-11-29 00:46;228678952;1045279304;228678952;1045279304
1638136020;2021-11-29 00:47;204831864;674547800;204831864;674547800
1638136080;2021-11-29 00:48;189887504;629579664;189887504;629579664
1638136140;2021-11-29 00:49;152385152;610316712;152385152;610316712
1638136200;2021-11-29 00:50;153801128;629600560;153801128;629600560
1638136260;2021-11-29 00:51;201654856;636390128;201654856;636390128
1638136320;2021-11-29 00:52;170467592;652745536;170467592;652745536
1638136380;2021-11-29 00:53;173184112;646301616;173184112;646301616
1638136440;2021-11-29 00:54;165815160;587764096;165815160;587764096
1638136500;2021-11-29 00:55;148326488;610971144;148326488;610971144
1638136560;2021-11-29 00:56;206215304;670604048;206215304;670604048
1638136620;2021-11-29 00:57;201543736;652824064;201543736;652824064
1638136680;2021-11-29 00:58;138637208;657884088;138637208;657884088
1638136740;2021-11-29 00:59;119699872;606488904;119699872;606488904
1638136800;2021-11-29 01:00;115587096;602997384;115587096;602997384
1638136860;2021-11-29 01:01;116086816;677949808;116086816;677949808
1638136920;2021-11-29 01:02;118625488;667378880;118625488;667378880
1638136980;2021-11-29 01:03;112503552;715549440;112503552;715549440
1638137040;2021-11-29 01:04;112792168;682608672;112792168;682608672
1638137100;2021-11-29 01:05;122144696;614958304;122144696;614958304
1638137160;2021-11-29 01:06;122136264;772635904;122136264;772635904
1638137220;2021-11-29 01:07;113958832;695714952;113958832;695714952
