Timestamp;DateTime;Pirog17-cr1_ae3.773(AS20764 Rascom AVN_1389ip)_tx;Pirog17-cr1_ae3.773(AS20764 Rascom AVN_1389ip)_rx;BMor18-cr1_et-0/0/1.773(AS20764 Rascom spb-ivc-cr3)_tx;BMor18-cr1_et-0/0/1.773(AS20764 Rascom spb-ivc-cr3)_rx;BMor18-cr1_et-0/0/1.1389(AS20764 Rascom spb-bm18-cr1)_tx;BMor18-cr1_et-0/0/1.1389(AS20764 Rascom spb-bm18-cr1)_rx;Cvetoch19-cr1_ae3.773(AS20764 Rascom spb-ivc-cr3)_tx;Cvetoch19-cr1_ae3.773(AS20764 Rascom spb-ivc-cr3)_rx;Cvetoch19-cr1_ae3.1389(AS20764 Rascom spb-sel-cr2)_tx;Cvetoch19-cr1_ae3.1389(AS20764 Rascom spb-sel-cr2)_rx;Aggregated_tx;Aggregated_rx
1635975720;2021-11-04 00:42;84940192;109834344;0;0;0;0;346755088;264401736;142238992;561801288;573934272;936037368
1635975780;2021-11-04 00:43;110408464;115847400;0;0;0;0;339093104;366811384;146067392;411106456;595568960;893765240
1635975840;2021-11-04 00:44;111402968;131902784;0;0;0;0;355419600;443833256;150180960;362281392;617003528;938017432
1635975900;2021-11-04 00:45;121116264;116909200;0;0;0;0;358090000;409545288;132311016;386050952;611517280;912505440
1635975960;2021-11-04 00:46;110909032;117438496;0;0;0;0;386770248;421131344;146439952;421498048;644119232;960067888
1635976020;2021-11-04 00:47;119062624;104296024;0;0;0;0;415684712;385947544;143842832;401702016;678590168;891945584
1635976080;2021-11-04 00:48;100953656;91894264;0;0;0;0;425407888;334685936;143483448;483018984;669844992;909599184
1635976140;2021-11-04 00:49;111789744;112459576;0;0;0;0;417680880;275987184;141890224;551719344;671360848;940166104
1635976200;2021-11-04 00:50;137000928;197576704;0;0;0;0;429249152;299562448;150525224;567488232;716775304;1064627384
1635976260;2021-11-04 00:51;131462984;213447880;0;0;0;0;405988040;307449968;142708304;521524624;680159328;1042422472
1635976320;2021-11-04 00:52;121048000;250165488;0;0;0;0;388086384;277424608;149397424;478301664;658531808;1005891760
1635976380;2021-11-04 00:53;116155048;247165552;0;0;0;0;352637328;268965376;133377536;509727304;602169912;1025858232
1635976440;2021-11-04 00:54;118461200;185223688;0;0;0;0;417466976;267563056;157672696;521578456;693600872;974365200
1635976500;2021-11-04 00:55;126756304;228716032;0;0;0;0;377593288;303831320;151224912;525999168;655574504;1058546520
1635976560;2021-11-04 00:56;95134920;223623488;0;0;0;0;374222024;317528368;136826728;527471904;606183672;1068623760
1635976620;2021-11-04 00:57;108503432;171505800;0;0;0;0;388549616;441536936;147728424;433305872;644781472;1046348608
1635976680;2021-11-04 00:58;137069352;89821440;0;0;0;0;394398944;425289632;146906696;456850776;678374992;971961848
1635976740;2021-11-04 00:59;125235112;117756680;0;0;0;0;396096408;454103384;128619192;469607664;649950712;1041467728
1635976800;2021-11-04 01:00;101918160;125233064;0;0;0;0;368188648;371638856;174714992;402024816;644821800;898896736
1635976860;2021-11-04 01:01;108343736;140047120;0;0;0;0;391832904;369507400;118930784;413460840;619107424;923015360
1635976920;2021-11-04 01:02;135644768;131052176;0;0;0;0;396793312;322629056;129196888;386420584;661634968;840101816
1635976980;2021-11-04 01:03;103310432;107697304;0;0;0;0;353765808;307160792;130661232;395122688;587737472;809980784
1635977040;2021-11-04 01:04;84939728;101308872;0;0;0;0;415095800;249316912;130658624;426029472;630694152;776655256
1635977100;2021-11-04 01:05;112539984;128926648;0;0;0;0;401976896;227329136;135976984;437185896;650493864;793441680
1635977160;2021-11-04 01:06;106449640;137564584;0;0;0;0;397528968;235240944;132918296;462748744;636896904;835554272
1635977220;2021-11-04 01:07;99406624;150356000;0;0;0;0;407007984;202222704;134558008;453346264;640972616;805924968
1635977280;2021-11-04 01:08;94467640;85537240;0;0;0;0;339578096;192617416;200724288;380323960;634770024;658478616
1635977340;2021-11-04 01:09;119666312;70941384;0;0;0;0;330583336;223854008;199554240;442310328;649803888;737105720
1635977400;2021-11-04 01:10;95445000;86293872;0;0;0;0;276672032;228492256;159605752;438854712;531722784;753640840
1635977460;2021-11-04 01:11;97678720;131871920;0;0;0;0;255102216;238939656;153607128;416623920;506388064;787435496
1635977520;2021-11-04 01:12;94744888;87183896;0;0;0;0;258214840;264083312;123325448;375444848;476285176;726712056
